# 62663 RisoSurf
Str_Ablauf_23485 32564809.710 5778435.620 21302 0.010000    0.250  % 64.498 9999.990 -9935.492 %  MU10S506 1 8142    18.666166    
Str_Ablauf_23486 32564807.700 5778408.850 21303 0.010000    0.250  % 64.466 9999.990 -9935.524 %  MU14N527 1 7628    16.197796    
Str_Ablauf_23487 32564914.430 5777894.570 21304 0.010000    0.250  % 64.566 9999.990 -9935.424 %  WE02N524 1 7037    27.607759    
Str_Ablauf_23488 32564918.440 5777890.420 21305 0.010000    0.250  % 64.636 9999.990 -9935.354 %  WE02N524 1 5988    27.003019    
Str_Ablauf_23489 32564886.520 5777863.600 21306 0.010000    0.250  % 62.967 9999.990 -9937.024 %  WE02N523 1 10738    26.128853    
Str_Ablauf_23490 32564890.170 5777859.420 21307 0.010000    0.250  % 62.960 9999.990 -9937.030 %  WE02N523 1 12011    20.439428    
Str_Ablauf_23491 32564856.840 5777827.610 21308 0.010000    0.250  % 61.665 9999.990 -9938.326 %  WE02N520 1 12823    21.432634    
Str_Ablauf_23492 32564835.640 5777856.630 21309 0.010000    0.250  % 61.551 9999.990 -9938.440 %  WE02N518 1 11732    21.615242    
Str_Ablauf_23493 32564806.860 5777877.610 21310 0.010000    0.250  % 61.341 9999.990 -9938.650 %  WE02N518 1 6271    24.258501    
Str_Ablauf_23494 32564782.290 5777902.090 21311 0.010000    0.250  % 61.084 9999.990 -9938.906 %  WE02N515 1 9391    22.362095    
Str_Ablauf_23495 32564793.610 5777906.130 21312 0.010000    0.250  % 61.156 9999.990 -9938.834 %  WE02N515 1 10633    25.500340    
Str_Ablauf_23496 32564814.510 5777926.970 21313 0.010000    0.250  % 62.033 9999.990 -9937.958 %  MU14S528 1 7667    17.734308    
Str_Ablauf_23497 32565003.500 5778404.040 21314 0.010000    0.250  % 69.526 9999.990 -9930.464 %  MU14N545 1 10435    26.200356    
Str_Ablauf_23498 32565182.280 5777981.300 21315 0.010000    0.250  % 73.872 9999.990 -9926.118 %  MU15S528 1 3498    27.348911    
Str_Ablauf_23499 32565162.890 5777958.350 21316 0.010000    0.250  % 72.587 9999.990 -9927.404 %  MU15S530 1 13294    21.789225    
Str_Ablauf_23500 32565141.340 5777935.770 21317 0.010000    0.250  % 71.457 9999.990 -9928.534 %  WE03N531 1 14122    25.561102    
Str_Ablauf_23508 32564837.890 5777961.450 21325 0.010000    0.250  % 63.300 9999.990 -9936.690 %  MU14S531 1 4451    24.583277    
Str_Ablauf_23509 32564842.220 5777957.660 21326 0.010000    0.250  % 63.563 9999.990 -9936.428 %  MU14S531 1 7736    37.989052    
Str_Ablauf_23510 32564865.480 5777988.920 21327 0.010000    0.250  % 64.416 9999.990 -9935.575 %  MU14S535 1 14721    13.939201    
Str_Ablauf_23511 32564869.890 5777985.400 21328 0.010000    0.250  % 64.430 9999.990 -9935.561 %  MU14S535 1 9053    22.072235    
Str_Ablauf_23518 32564899.580 5778012.260 21335 0.010000    0.250  % 65.619 9999.990 -9934.372 %  MU14S540 1 1541    15.153255    
Str_Ablauf_23519 32564895.810 5778016.300 21336 0.010000    0.250  % 65.728 9999.990 -9934.262 %  MU14S540 1 2762    20.842085    
